id;name;normal;low_risk;medium_risk;high_risk;imminent_high_risk
9f2650d5-3e51-45c0-8bc4-2033c5b58eb7;foolishly amid unless;toward;incidentally deprave;gastropod wearily uh-huh;round cheerful defiantly;toward contravene boo
3ddb5fb1-4200-4005-9625-4d5e7978371c;certainly timely;fantastic;quintuple;geez;duster frilly;overconfidently
22aeabfd-118d-4780-97a7-4ef3d08384f0;likewise drat storyboard;upwardly given molasses;proselytise suddenly;how;step-mother;zebra little buttery
fd76cdb6-595b-4f9c-9975-e8d98af5e6d5;wisely psst unabashedly;whether;surface woefully;instead uncork;inasmuch incidentally tough;inwardly
bb16f4ad-1f22-4a3c-8bf2-a67c2af0890a;ah instead aboard;rosemary tensely;cork sell;like good-natured boo;aw;deliberately badly
d7c17500-825c-4fe8-a5c9-1a5e820228b6;overfeed;elegantly separate;ouch mean;old-fashioned as;since;championship and fooey
50330ffd-eefc-4f44-8123-0ed95e5f0118;hmph founder;awkwardly;kick when yum;fuzzy gadzooks fortunately;wetly and;anenst spherical
8142bc39-3453-4d57-9cd1-933fe94b5818;wrong regularly;wash eek;likewise;serenade guest;rebound;zowie next trust
f331243d-23b9-49d0-a4b8-e0f2e82fc4f5;so vast fully;until pip forager;horn uh-huh hose;mismatch buzzing;mutate yet clear;ick
b3a85386-97b9-4471-ad44-08c06e0dc495;phooey solder immaculate;even onto why;till;before;granular ripe;gosh about
